Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/03/16 21:00:00+00,194,1574,4120,10450,8159,5895,4420,2617,1372,1059,0,247,1633,3728,9373,8002,5787,4433,2620,1184,633,0,444,3225,7871,19917,16215,11717,8881,5246,2563,1696,0,39860,37640,275,0.029,0.076,0.57,0.145,0.175,0.36,0.455,0.184,344,Past,0.004,0.001
2021/03/17 21:00:00+00,194,1573,4123,10459,8161,5900,4423,2619,1373,1058,0,247,1634,3731,9378,8011,5792,4437,2621,1188,634,0,444,3225,7877,19931,16226,11727,8888,5249,2568,1696,0,39883,37673,275,0.029,0.076,0.57,0.146,0.175,0.36,0.455,0.185,345,Past,0.004,0.001
2021/03/18 21:00:00+00,194,1575,4128,10465,8172,5904,4431,2622,1373,1060,0,247,1637,3735,9390,8016,5801,4441,2626,1190,634,0,444,3230,7886,19949,16242,11740,8900,5257,2570,1698,0,39924,37717,275,0.029,0.076,0.57,0.146,0.175,0.36,0.455,0.185,346,Past,0.004,0.001
2021/03/19 21:00:00+00,194,1576,4131,10475,8185,5914,4433,2623,1375,1061,0,247,1639,3736,9403,8034,5806,4448,2629,1192,634,0,444,3233,7891,19972,16273,11755,8909,5261,2574,1699,0,39967,37768,276,0.029,0.076,0.57,0.146,0.175,0.36,0.455,0.185,347,Past,0.004,0.001
2021/03/20 21:00:00+00,194,1577,4134,10489,8190,5920,4440,2625,1375,1061,0,247,1642,3744,9420,8051,5812,4453,2629,1192,634,0,444,3237,7903,20005,16295,11767,8921,5263,2574,1699,0,40005,37824,279,0.029,0.076,0.57,0.146,0.175,0.36,0.455,0.185,348,Past,0.004,0.001
2021/03/21 21:00:00+00,194,1577,4139,10498,8199,5925,4441,2632,1376,1062,0,247,1644,3752,9434,8058,5817,4458,2633,1193,634,0,444,3239,7916,20028,16311,11777,8928,5274,2576,1700,0,40043,37870,280,0.029,0.076,0.57,0.146,0.175,0.36,0.455,0.185,349,Past,0.004,0.001
2021/03/22 21:00:00+00,194,1581,4145,10522,8211,5936,4448,2636,1376,1062,0,247,1646,3758,9451,8067,5829,4460,2632,1193,634,0,444,3245,7928,20069,16332,11800,8937,5277,2576,1700,0,40111,37917,280,0.03,0.076,0.57,0.146,0.175,0.361,0.454,0.185,350,Past,0.004,0.001
2021/03/23 21:00:00+00,194,1584,4147,10531,8215,5941,4455,2636,1378,1063,0,247,1647,3761,9453,8075,5835,4463,2634,1199,634,0,444,3249,7933,20080,16344,11811,8947,5279,2584,1701,0,40144,37948,280,2.963,7.545,56.961,14.599,17.45,36.102,45.397,18.501,351,Past,0.364,0.118
2021/03/24 21:00:00+00,134,1602,3970,10520,8315,5946,4529,2680,1409,1097,0,154,1689,3606,9421,8178,5839,4540,2700,1224,664,0,288,3312,7600,20038,16546,11820,9098,5389,2640,1765,0,40202,38015,279,2.966,7.541,56.966,14.596,17.45,36.127,45.344,18.529,352,Past,0.363,0.118
2021/03/25 21:00:00+00,212,1601,4291,10607,8136,5924,4458,2607,1374,1053,0,266,1649,3850,9571,8030,5835,4439,2595,1195,630,0,481,3268,8166,20273,16221,11793,8926,5211,2576,1687,0,40263,38060,279,3,7.5,57,14.6,17.5,36.2,45.3,18.5,353,Past,0.4,0.1
